n,time,Log2n*3.80130077-58.93899558,,sqrt(n)*0.0312835-8.86682128,,n*2.25428832e-05-0.07586539,,nlog(n)*1.08157331e-06+0.65406409,,n^2*1.18554713e-11+5.25616639,,n^3*6.05760461e-18+6.69964206,,2^n*0+9.25515385,,1*n!+0,
281000,6.337,9.86534892950397,12.4492461683318,7.71638473096935,1.90270223603139,6.2586847892,0.006133272242648,6.15511810946934,0.033081022103007,6.1922862593193,0.020942066741801,6.83404843944847,0.247057151158159,9.25515385,8.51562189226982,7.07818E+1409052,5.01007E+2818105
291000,6.337,10.0571208382912,13.8392990514882,8.00888004838188,2.79518289617741,6.4841136212,0.021642417542577,6.36676337251372,0.000885858343391,6.2600995551553,0.005913678417313,6.84891458865001,0.262056546072708,9.25515385,8.51562189226982,1.97969E+1463616,3.91918E+2927232
301000,6.575,10.2424127120937,13.4499160008265,8.29639138684212,2.96318830669425,6.7095424532,0.018101671713074,6.57894495435721,1.55626648804341E-05,6.3302839452513,0.059885947451769,6.86483839561645,0.08400629557352,9.25515385,7.18322465966982,1.03394E+1518329,1.06903E+3036658
311000,6.774,10.4216481996309,13.3053373882702,8.57916515727978,3.25862124505693,6.9349712852,0.02591175465894,6.79164503042661,0.000311347098756,6.4028394296073,0.137760169014235,6.88185620597547,0.011632961167422,9.25515385,6.15612442736982,1.10303E+1573186,1.21667E+3146372
321000,6.993,10.5952107156886,12.9759220402218,8.85742811150456,3.47609218296847,7.1604001172,0.028022799238574,7.00484692303683,0.000140349585441,6.4777660082233,0.265466066282153,6.9000043653547,0.008648188063082,9.25515385,5.11734004106982,5.48345E+1628182,3.00682E+3256365
331000,7.224,10.7634483798655,12.5276948337324,9.13138947037044,3.63813459168003,7.3858289492,0.026188608799176,7.2185349941321,2.98662891361426E-05,6.5550636810993,0.447475798744419,6.91931921938183,0.0928303780781,9.25515385,4.12558596236982,5.64201E+1683314,3.18323E+3366629
341000,7.419,10.926678220033,12.3038064952939,9.40124276459022,3.92928637777027,7.6112577812,0.036963054431948,7.43269455099958,0.00018754072708,6.6347324482353,0.615075592750997,6.9398371136845,0.229597071622205,9.25515385,3.37146096086982,9.78081E+1738577,9.56642E+3477155
351000,7.64,11.0851897680856,11.8693325381215,9.6671674342447,4.10940780646226,7.8366866132,0.038685623812087,7.64731176305136,5.3461878919161E-05,6.7167723096313,0.852349368263524,6.96159439389037,0.460234166400973,9.25515385,2.60872195916982,4.04087E+1793968,1.63286E+3587937
361000,7.876,11.2392481504545,11.3114381215354,9.92933022455672,4.21616501107816,8.0621154452,0.034638958941994,7.86237358809686,0.000185679101354,6.8011832652873,1.15523101321847,6.98462740562711,0.794545101999054,9.25515385,1.90206534196982,9.32748E+1849482,8.70020E+3698965
371000,8.149,11.3890967562506,10.4982269898656,10.1878864087773,4.15705778789692,8.2875442772,0.019194516744871,8.07786770679001,0.005059803137312,6.8879653152033,1.59020847626031,7.00897249452238,1.29966271324552,9.25515385,1.22357633986982,4.48186E+1905117,2.00870E+3810235
381000,8.376,11.5349595504666,9.97902544148412,10.4429808636588,4.27240989073168,8.5129731092,0.018761632643915,8.29378246414863,0.006759723201471,6.9771184593793,1.95686956468934,7.03466600620383,1.79917688291318,9.25515385,0.772911491969822,2.55670E+1960869,6.53672E+3921738
391000,8.661,11.6770430874334,9.09651590525499,10.6947490186685,4.13613507093513,8.7384019412,0.005991060501528,8.51010681721728,0.022768752610298,7.0686426978153,2.53560177782094,7.06174428629913,2.55761883780487,9.25515385,0.353018797469822,1.46183E+2016735,2.13694E+4033470
401000,8.83,11.815538269966,8.9134387614314,10.9433176966011,4.46611168676736,8.9638307732,0.01791067585531,8.72683028808737,0.010643989456134,7.1625380305113,2.78042941969114,7.09024368043594,3.02675205146309,9.25515385,0.180755796169822,1.01587E+2072712,1.03200E+4145424
411000,9.079,11.9506218917949,8.24621228943577,11.1888058604,4.45128076857827,9.1892596052,0.01215718053886,8.94394292160607,0.018240414424305,7.2588044574673,3.31311181305592,7.12020053424191,3.83689534705419,9.25515385,0.031030178869822,1.45459E+2128797,2.11582E+4257594
421000,9.313,12.082457994553,7.66989758359366,11.4313252786701,4.48730198625267,9.4146884372,0.010340538260178,9.1614352472033,0.022971874290324,7.3574419786833,3.82420717473609,7.15165119334471,4.67142866403027,9.25515385,0.003346177069823,9.92423E+2184987,9.84902E+4369975
431000,9.55,12.2111990654442,7.08198046592118,11.6709811204456,4.49856091328676,9.6401172692,0.008121122208065,9.37929824434746,0.029139089382861,7.4584505941593,4.37457891707259,7.18463200337199,5.59496575947202,9.25515385,0.086934252169823,9.95560E+2241281,9.91141E+4482563
441000,9.777,12.3369870975265,6.55353393950232,11.9078724881943,4.54061756094327,9.8655461012,0.007840412037721,9.59752331120849,0.032211881819563,7.5618303038953,4.90697678254059,7.21917930995142,6.5424466824406,9.25515385,0.272323404269822,5.92578E+2297676,3.51148E+4595353
451000,10,12.459954531098,6.0513762950694,12.1420928967191,4.58856197817454,10.0909749332,0.008276438470744,9.81610223616476,0.033818387543602,7.6675811078913,5.44017788826558,7.25532945871065,7.53321638022156,9.25515385,0.554795787169824,1.08449E+2354170,1.17613E+4708340
461000,10.221,12.5802250918336,5.56594303393731,12.3737307045236,4.63424948619873,10.3164037652,0.009101878414337,10.035027171838,0.034585892814591,7.7757030061473,5.97947738814505,7.29311879527736,8.57248834896813,9.25515385,0.932858785469824,3.99381E+2410759,1.59505E+4821519
471000,10.474,12.6979145389721,4.94579587665136,12.6028695032821,4.53208536200473,10.5418325972,0.004601261242897,10.254290611382,0.048272215446917,7.8861959986633,6.69672954933423,7.33258366527918,9.86849658805078,9.25515385,1.48558593736982,2.40925E+2467443,5.80448E+4934886
481000,10.689,12.8131313348926,4.51193392787275,12.8295884702847,4.58211899911589,10.7672614292,0.006124851300427,10.4738853667861,0.046274305422736,7.9990600854393,7.23577674394683,7.3737604143438,10.9908135103019,9.25515385,2.05591478186982,2.37740E+2524219,5.65205E+5048438
491000,10.995,12.9259772457904,3.72867312376009,13.053962688069,4.23932735086024,10.9926902612,5.33489332422218E-06,10.6938045489837,0.090718699712926,8.1142952664753,8.29845976175161,7.41668538809885,12.8043354617452,9.25515385,3.02706462566982,4.64140E+2581085,2.15426E+5162171
501000,11.169,13.0365478817863,3.48773509076441,13.2760634348977,4.43971631868287,11.2181190932,0.00241268531679,10.9140415495809,0.065003811440108,8.2319015417713,8.62654735332941,7.46139493217202,13.7463353389837,9.25515385,3.66280708586983,2.59558E+2638040,6.73705E+5276080
511000,11.373,13.1449331836563,3.13974720734227,13.4959584492678,4.50695257731747,11.4435479252,0.004977009750025,11.1345900240459,0.056839316634417,8.3518789113273,9.12717263242292,7.50792539219095,14.9388017239303,9.25515385,4.48527231506982,7.12880E+2695081,5.08199E+5390163
521000,11.667,13.2512178623867,2.50974623550494,13.7137121712329,4.18903071187306,11.6689767572,3.90756902775013E-06,11.3554438762137,0.097067218268744,8.4742273751433,10.1937970340343,7.55631311378331,16.8977466765139,9.25515385,5.81700185126983,1.93320E+2752208,3.73725E+5504416
531000,11.846,13.3554817969391,2.27853529529054,13.9293859629768,4.34049707072895,11.8944055892,0.002343101065799,11.5765972439809,0.072577844950668,8.5989469332193,10.54335361849,7.60659444257675,17.9725594803111,9.25515385,6.71248377296983,1.20904E+2809418,1.46178E+5618836
541000,12.126,13.4578003949041,1.7736922918666,14.1430383107765,4.06844354714018,12.1198344212,3.8014361939E-05,11.7980444860792,0.107554819111075,8.7260375855553,11.5597444196366,7.65880572419894,19.9558246977497,9.25515385,8.24175761696982,4.69247E+2866709,2.20193E+5733419
600000,13.474,14.0254634893123,0.304111980044467,15.3652736222159,3.57691591408982,13.44986453,0.000582520912121,13.1102862543865,0.132287688748224,9.524136058,15.6014251603118,8.00808465576,29.8762305503983,9.25515385,17.7986628373698,2.23488E+3206317,4.99468E+6412634
700000,15.68,14.8708439717807,0.654733478003653,17.3068326600788,2.6465845038989,15.70415285,0.000583360163123,15.3546968768689,0.105822121918873,11.065347327,21.295019292426,8.77740044123,47.6458806687318,9.25515385,41.2786480511698,6.49108E+3787565,4.21341E+7575131
800000,17.95,15.6031458548998,5.50772437837389,19.1139917496459,1.35487679324365,17.95844117,7.12533509689187E-05,17.6214750946773,0.107928613417307,12.843668022,26.0746262695454,9.80113562032,66.4039906784175,9.25515385,75.6003495721698,5.68468E+4375039,3.23156E+8750079
900000,20.215,16.2490818937247,15.728506425682,20.8113126745632,0.355588805844773,20.21272949,5.15521566009497E-06,19.9078091818975,0.094366198726497,14.859098143,28.685684701816,11.11563582069,82.7984284677099,9.25515385,120.11822763167,3.99019E+4967956,1.59216E+9935913
1000000,22.567,16.8268913698798,32.9488470855805,22.41667872,0.022596487220838,22.46701781,0.009996438317196,22.2115166810159,0.126368390075946,17.11163769,29.7609779333686,12.75724667,96.2312603954461,9.25515385,177.20524792127,8.26393E+5565708,6.82926E+11131417
1200000,26.98,17.8267642593123,83.7817245246033,25.4025359754257,2.48839274882605,26.97559445,1.94088708025116E-05,26.8643963907729,0.013364194466323,22.328045062,21.6406847451826,17.16718282608,96.2913808887793,9.25515385,314.17017104117,3.59463E+6773867,1.29213E+13547735
1400000,31.345,18.6721447417807,160.601260395777,28.1483150989194,10.2187943567969,31.48417109,0.019368592291789,31.5695322977377,0.050414752727381,28.492890138,8.13453066491765,23.32170910984,64.3731967081244,9.25515385,487.96130293067,2.80181E+7996570,7.85015E+15993140
1600000,35.947,19.4044466248998,273.656072168038,30.704023992751,27.4887974125887,35.99274773,0.002092854800153,36.3194033953545,0.138684288871589,35.606172918,0.116163099824638,31.51159054256,19.6728570551482,9.25515385,712.45465089527,2.00611E+9231724,4.02447E+18463448
1800000,40.587,20.0503826637247,421.752651616602,33.1043982644688,55.9893287325746,40.50132437,0.007340313575896,41.108386231795,0.271843602705336,43.667893402,9.4919041544871,42.02759214552,2.07530572973392,9.25515385,981.68458316727,9.30007E+10477763,8.64913E+20955527
1999999,45.37,20.6281893978202,612.157191874136,35.3747176381098,99.9056694939124,45.0098784671168,0.129687518446139,45.9320916926259,0.315947070919,52.6780041681266,53.4069249213565,55.160406248781,95.8520545161705,9.25515385,1304.28211243817,1.88841E+11733468,3.56609E+23466936
,,,39.4459192281693,,7.676117916558,,0.011366417416708,,0.06388619225094,,8.72814917735514,,18.9291801193913,,84.3589661301775,,5.486292307692307692307692308E+23466934
