n,time,Logn*0.20530613-3.50701963,,sqrt(n)*0.00091436-0.36456361,,n*5.32426343e-07-0.03404061,,n*logn*2.51191636e-08-0.00921627,,n^2*2.49048274e-13-0.16664807,,n^3*1.24528471e-19-0.24964701,
1040000,0.479,0.596670523028228,0.013846351989737,0.56790428648974,0.00790397215625,0.51968278672,0.001655089135305,0.512952819107715,0.001152793925361,0.1027225431584,0.141584724527182,-0.109569415997056,0.346413957447116
1060000,0.581,0.6023124866726,0.00045422208817,0.576827627571287,1.74086916838811E-05,0.53033131358,0.002567315783528,0.523726243060664,0.003280283233946,0.1131825706664,0.218853147188298,-0.101331608583464,0.465576424072097
1080000,0.704,0.607848986852937,0.009245017329207,0.585667175845207,0.014002657272449,0.54097984044,0.026575572422968,0.534513343029934,0.028725726890889,0.1238418367936,0.336583494335024,-0.092777000739648,0.634853588907669
1100000,0.764,0.613283894120045,0.022715344571618,0.59442524841286,0.02875559637584,0.5516283673,0.045101710375664,0.545313865726735,0.047823625323384,0.13470034154,0.396018060137873,-0.083899615099,0.718933757285032
1120000,0.393,0.618620869782487,0.050904776881406,0.603104057514008,0.04414371498385,0.56227689416,0.028654666896456,0.556127567074327,0.026610603139589,0.1457580849056,0.061128564579547,-0.074693474294912,0.218737185898046
1140000,0.602,0.623863380722197,0.000478007416604,0.611705717052735,9.42009435077496E-05,0.57292542102,0.000845331142864,0.566954211714415,0.001228207276558,0.1570150668904,0.198011590694555,-0.065152600960776,0.445092592968728
1160000,0.568,0.62901471292158,0.003722795192903,0.620232248610301,0.002728207794888,0.58357394788,0.000242547852569,0.57779357254818,9.59140632564633E-05,0.1684712874944,0.159623192116382,-0.055271017729984,0.38846676154217
1180000,0.839,0.634077983834268,0.041993032709428,0.628685586993383,0.044232152318318,0.59422247474,0.05991603687241,0.588645430308986,0.062677410565173,0.1801267467176,0.434113963890934,-0.045042747235928,0.781531578940447
1200000,0.927,0.639056153716168,0.082911658612727,0.637067585360847,0.08406080505849,0.6048710016,0.103767091610187,0.599509573164048,0.107249979669194,0.19198144456,0.540252276841104,-0.034461812112,0.924408816149691
1220000,0.93,0.643952036019928,0.081823437697144,0.645380019967534,0.081008533033681,0.61551952846,0.098897966980021,0.610385796342673,0.102153239179508,0.2040353810216,0.527024628008454,-0.023522234991592,0.909204652623361
1240000,0.542,0.648768306944197,0.01139947136773,0.653624594559452,0.012460050110562,0.62616805532,0.007084261536351,0.621273901788878,0.006284351504833,0.2162885561024,0.10608794468586,-0.012218038508096,0.307157634207761
1260000,0.539,0.653507514218853,0.013111970812581,0.661802944451186,0.015080563165881,0.63681658218,0.009568083749377,0.632173697836428,0.008681337968514,0.2287409698024,0.096260665819155,-0.000543245294904,0.291106913543357
1280000,0.379,0.658172085198389,0.077937053154017,0.669916640313171,0.084632491611103,0.64746510904,0.072073514771859,0.643084998904509,0.069740886646395,0.2413926221216,0.018935790446569,0.011508122014592,0.135050280385242
1300000,0.903,0.662764334327825,0.057713175060953,0.677967191693648,0.050639764814244,0.6581136359,0.059969331322118,0.654007625212429,0.061997202702354,0.25424351306,0.420884979346731,0.023942040787,0.772742895655724
1320000,0.759,0.667286470038631,0.008411371577975,0.685956050297702,0.005335418588112,0.66876216276,0.008142867269753,0.664941402511872,0.008847019761434,0.2672936426176,0.241775141890269,0.036764488388928,0.521624134232107
1340000,0.667,0.671740601126106,2.24732990368414E-05,0.693884613043527,0.0007227824185,0.67941068962,0.000154025216844,0.675886161835391,7.89638721647523E-05,0.2805430107944,0.149349004505857,0.049981442186984,0.380711900685654
1360000,0.538,0.676128742654301,0.019079549547258,0.70175422491415,0.026815446177234,0.69005921648,0.023122005316512,0.686841739259913,0.022153863345916,0.2939916175904,0.05954009068615,0.063598879547776,0.225056423086326
1380000,0.362,0.680452821429868,0.101412199476643,0.709566181621106,0.120802250606676,0.70070774334,0.114722935398475,0.697807975684163,0.112766996533095,0.3076394630056,0.00295506798232,0.077622777837912,0.080870404484626
1400000,0.928,0.684714681082085,0.059187746400992,0.717321732094993,0.044385332567454,0.7113562702,0.046934505661656,0.708784716618986,0.048055340467818,0.32148654704,0.367858568621462,0.092059114424,0.698797164177587
1420000,1.181,0.688916086782542,0.242146577647406,0.725022080816468,0.207915862782944,0.72200479706,0.210676596321932,0.719771811989663,0.212731441415299,0.3355328696936,0.714814668428539,0.106913866672648,1.1536610218061
1440000,0.947,0.693058729634755,0.064486168794715,0.73266839,0.045938039045192,0.73265332392,0.045944497546544,0.730769115949355,0.046755795217324,0.3497784309664,0.356673602518955,0.122193011950464,0.680306567535347
1460000,0.497,0.697144230761003,0.040057713106914,0.740261781641593,0.059176294407442,0.74330185078,0.060664601697653,0.741776486702921,0.059915528442626,0.3642232308584,0.017629670423682,0.137902527624056,0.128950994666792
1480000,0.334,0.701174145111144,0.134816852838099,0.747803339440696,0.171233203732272,0.75395037764,0.176358319679979,0.752793786340389,0.175388235477319,0.3788672693696,0.002013071860684,0.154048391060032,0.032382581560083
1500000,0.727,0.705149965015766,0.000477424028812,0.755294110605613,0.000800556694963,0.7645989045,0.0014136776196,0.763820880679428,0.001355777254009,0.3937105465,0.111081859814329,0.170636579625,0.309540255531369
1520000,0.596,0.709073123504015,0.012785531258954,0.762735107550943,0.027800596090025,0.77524743136,0.032129641649158,0.774857639116223,0.031990055070229,0.4087530622496,0.035061415696902,0.187673070685568,0.166730881203353
1540000,0.401,0.712944997404546,0.097309681405722,0.77012730949482,0.136254970614885,0.78589595822,0.148144898654092,0.785903934484207,0.148151038781423,0.4239948166184,0.000528761591314,0.205163841608344,0.038351800933602
1560000,0.949,0.71676691024641,0.053932207976499,0.777471663963112,0.029421970063584,0.79654448508,0.023242684029522,0.796959642920121,0.023116270180977,0.4394358096064,0.259655664131485,0.223114869759936,0.526909222303635
1580000,0.333,0.720540134975135,0.150187356216546,0.784769088207094,0.204095309059469,0.80719301194,0.224859012572729,0.80802464373695,0.225648412157416,0.4550760412136,0.014902559838385,0.241532132506952,0.008366370783726
1600000,0.889,0.724265896497986,0.027137324856612,0.792020470540624,0.009405029134162,0.8178415388,0.005063526600352,0.819098819303296,0.004886175062793,0.47091551144,0.174794639574477,0.260421607216,0.395110795874917
1620000,0.599,0.72794537407112,0.016626909494341,0.799226671602317,0.040090720020942,0.82849006566,0.052665690236631,0.830182054928779,0.053445142521093,0.4869542202856,0.012554256751808,0.279789271253688,0.101895489346752
